0.000	0.015	0.078	-0.288	-0.335	-0.615	0.145	-0.025	-0.175	-0.700	-0.160
-0.015	0.000	0.005	-0.235	-0.263	-0.368	-0.053	0.295	0.245	-0.395	-0.258
-0.078	-0.005	0.000	-0.333	-0.213	-0.715	0.233	0.113	0.138	-0.280	-0.190
0.288	0.235	0.333	0.000	0.200	-0.305	0.435	0.508	0.373	-0.308	0.265
0.335	0.263	0.213	-0.200	0.000	-0.298	0.433	0.480	0.343	-0.225	0.203
0.615	0.368	0.715	0.305	0.298	0.000	0.640	0.965	0.418	-0.068	0.515
-0.145	0.053	-0.233	-0.435	-0.433	-0.640	0.000	-0.125	-0.265	-0.750	-0.145
0.025	-0.295	-0.113	-0.508	-0.480	-0.965	0.125	0.000	-0.060	-0.358	-0.240
0.175	-0.245	-0.138	-0.373	-0.343	-0.418	0.265	0.060	0.000	-0.453	-0.035
0.700	0.395	0.280	0.308	0.225	0.068	0.750	0.358	0.453	0.000	0.493
0.160	0.258	0.190	-0.265	-0.203	-0.515	0.145	0.240	0.035	-0.493	0.000
