0.0000	-0.0973	0.0113	-0.1363	-0.1427	-0.2003	0.0209	-0.1030	0.0279	-0.3954	0.0257	1.5902	-0.0768	-0.0254	0.0889	1.5031	1.0590	-0.4996	-0.6469
0.0973	0.0000	0.0394	-0.1023	-0.1174	-0.1845	0.0516	0.1476	0.0595	-0.3588	-0.1075	1.9092	-0.0547	-0.0032	0.1178	1.5566	1.0797	-0.4785	-0.6255
-0.0113	-0.0394	0.0000	-0.1423	-0.1543	-0.2000	0.0042	0.0956	0.0161	-0.3903	-0.0944	1.7174	-0.0901	0.0022	0.0771	1.5437	1.0624	-0.4831	-0.6490
0.1363	0.1023	0.1423	0.0000	-2.2525	-0.0644	0.1489	0.2542	0.1706	-0.2443	0.1013	1.8193	0.0620	0.1192	0.2268	1.6488	1.1157	-0.3700	-0.5370
0.1427	0.1174	0.1543	2.2525	0.0000	-0.0680	0.1660	0.2600	0.1785	-0.2356	0.0320	1.8452	0.0598	0.1058	0.2299	1.6478	1.2109	-0.3814	-0.5298
0.2003	0.1845	0.2000	0.0644	0.0680	0.0000	0.2223	0.3274	0.2295	-0.1737	0.1783	1.8412	0.1161	0.1769	0.3096	1.7460	1.8350	-0.2439	-0.4428
-0.0209	-0.0516	-0.0042	-0.1489	-0.1660	-0.2223	0.0000	0.1023	0.0057	-0.4221	-0.1595	1.6982	-0.0983	-0.0402	0.0775	1.5087	1.0476	-0.5229	-0.6712
0.1030	-0.1476	-0.0956	-0.2542	-0.2600	-0.3274	-0.1023	0.0000	-0.0846	-0.5366	-0.4456	1.6374	-0.1830	-0.1248	-0.0026	1.4448	0.8850	-0.6230	-0.7630
-0.0279	-0.0595	-0.0161	-0.1706	-0.1785	-0.2295	-0.0057	0.0846	0.0000	-0.4591	-0.2291	1.5536	-0.0958	-0.0177	0.0854	1.5181	0.9490	-0.4970	-0.6550
0.3954	0.3588	0.3903	0.2443	0.2356	0.1737	0.4221	0.5366	0.4591	0.0000	0.2296	1.9780	0.3172	0.3424	0.4699	1.9410	1.4676	-0.1092	-0.2825
-0.0257	0.1075	0.0944	-0.1013	-0.0320	-0.1783	0.1595	0.4456	0.2291	-0.2296	0.0000	1.5309	-0.0400	-0.0130	0.0655	1.2950	0.9604	-0.3170	-0.5800
-1.5902	-1.9092	-1.7174	-1.8193	-1.8452	-1.8412	-1.6982	-1.6374	-1.5536	-1.9780	-1.5309	0.0000	-1.6860	-1.6800	-1.5172	-0.3152	-0.7414	-2.1761	-0.5326
0.0768	0.0547	0.0901	-0.0620	-0.0598	-0.1161	0.0983	0.1830	0.0958	-0.3172	0.0400	1.6860	0.0000	0.0542	1.6100	1.6486	1.0550	-0.3730	-0.5370
0.0254	0.0032	-0.0022	-0.1192	-0.1058	-0.1769	0.0402	0.1248	0.0177	-0.3424	0.0130	1.6800	-0.0542	0.0000	0.1115	1.6126	1.0830	-0.5381	-0.5326
-0.0889	-0.1178	-0.0771	-0.2268	-0.2299	-0.3096	-0.0775	0.0026	-0.0854	-0.4699	-0.0655	1.5172	-1.6100	-0.1115	0.0000	1.2780	0.8590	-0.5381	-0.5326
-1.5031	-1.5566	-1.5437	-1.6488	-1.6478	-1.7460	-1.5087	-1.4448	-1.5181	-1.9410	-1.2950	0.3152	-1.6486	-1.6126	-1.2780	0.0000	-0.4236	-2.0712	-0.5326
-1.0590	-1.0797	-1.0624	-1.1157	-1.2109	-1.8350	-1.0476	-0.8850	-0.9490	-1.4676	-0.9604	0.7414	-1.0550	-1.0830	-0.8590	0.4236	0.0000	-0.5381	-0.5326
0.4996	0.4785	0.4831	0.3700	0.3814	0.2439	0.5229	0.6230	0.4970	0.1092	0.3170	2.1761	0.3730	0.5381	0.5381	2.0712	0.5381	0.0000	-0.5370
0.6469	0.6255	0.6490	0.5370	0.5298	0.4428	0.6712	0.7630	0.6550	0.2825	0.5800	0.5326	0.5370	0.5326	0.5326	0.5326	0.5326	0.5370	0.0000
